customer_id,name,email,city,state,country,registration_date,total_orders,total_spent,customer_tier
CUST-063,New Company,customer63@example.com,Los Angeles,NY,USA,2022-06-30,45,35551.05,Platinum
CUST-064,Mega Corp,customer64@example.com,Chicago,IL,USA,2022-10-17,37,42786.97,Gold
CUST-065,Mega Corp,customer65@example.com,New York,FL,USA,2022-05-07,16,33274.0,Platinum
CUST-066,Old Business,customer66@example.com,Philadelphia,WA,USA,2022-03-23,18,37713.55,Platinum
CUST-067,Old Business,customer67@example.com,San Diego,FL,USA,2022-12-08,41,17876.8,Silver
CUST-068,Global Industries,customer68@example.com,Chicago,WA,USA,2022-06-13,6,39996.92,Silver
CUST-069,Small Business,customer69@example.com,Los Angeles,FL,USA,2022-09-11,4,48306.13,Gold
CUST-070,Acme Corp,customer70@example.com,San Antonio,FL,USA,2022-11-08,7,14426.25,Platinum
CUST-071,New Company,customer71@example.com,New York,CA,USA,2022-07-21,2,35746.53,Silver
CUST-072,New Company,customer72@example.com,Chicago,CA,USA,2022-10-31,22,43151.05,Bronze
CUST-073,Enterprise Ltd,customer73@example.com,New York,WA,USA,2022-05-31,45,16998.04,Bronze
CUST-074,Mega Corp,customer74@example.com,Philadelphia,FL,USA,2022-03-16,16,34594.94,Bronze
CUST-075,New Company,customer75@example.com,New York,PA,USA,2022-01-18,12,17101.4,Silver
CUST-076,Enterprise Ltd,customer76@example.com,San Antonio,CA,USA,2022-01-23,24,12177.58,Bronze
CUST-077,Small Business,customer77@example.com,Phoenix,WA,USA,2022-01-27,35,38646.75,Platinum
CUST-078,Tech Solutions,customer78@example.com,Houston,WA,USA,2022-12-18,30,23616.52,Bronze
CUST-079,XYZ Inc,customer79@example.com,Los Angeles,TX,USA,2022-08-20,31,19954.89,Silver
CUST-080,Old Business,customer80@example.com,Philadelphia,FL,USA,2022-03-17,10,7243.81,Gold
CUST-081,Startup Co,customer81@example.com,Philadelphia,TX,USA,2022-10-01,28,21915.79,Platinum
CUST-082,Tech Solutions,customer82@example.com,Houston,AZ,USA,2022-03-18,44,11523.4,Platinum
CUST-083,Acme Corp,customer83@example.com,New York,PA,USA,2022-04-26,9,45454.4,Silver
CUST-084,New Company,customer84@example.com,Houston,IL,USA,2022-12-18,38,13151.48,Bronze
CUST-085,Global Industries,customer85@example.com,Philadelphia,CA,USA,2022-09-27,22,14520.15,Platinum
CUST-086,Acme Corp,customer86@example.com,Phoenix,CA,USA,2022-09-26,8,16802.33,Platinum
CUST-087,Enterprise Ltd,customer87@example.com,Chicago,IL,USA,2022-03-30,6,7758.61,Gold
CUST-088,Enterprise Ltd,customer88@example.com,Chicago,TX,USA,2022-06-14,15,33220.18,Gold
CUST-089,XYZ Inc,customer89@example.com,Houston,TX,USA,2022-09-30,11,33159.89,Bronze
CUST-090,Acme Corp,customer90@example.com,Chicago,IL,USA,2022-08-27,38,33385.17,Gold
CUST-091,Global Industries,customer91@example.com,San Diego,TX,USA,2022-11-18,26,30696.48,Bronze
CUST-092,Tech Solutions,customer92@example.com,Phoenix,CA,USA,2022-04-19,41,1505.64,Bronze
CUST-093,Startup Co,customer93@example.com,San Antonio,AZ,USA,2022-09-19,45,41442.72,Silver
CUST-094,Tech Solutions,customer94@example.com,Chicago,NY,USA,2022-07-09,16,8082.8,Silver
CUST-095,Startup Co,customer95@example.com,Los Angeles,AZ,USA,2022-04-26,24,31393.76,Platinum
CUST-096,Tech Solutions,customer96@example.com,Los Angeles,PA,USA,2022-07-18,5,13756.05,Platinum
CUST-097,New Company,customer97@example.com,San Antonio,CA,USA,2022-04-14,25,2857.58,Gold
CUST-098,Startup Co,customer98@example.com,San Antonio,FL,USA,2022-09-21,42,18784.84,Platinum
CUST-099,Startup Co,customer99@example.com,Chicago,AZ,USA,2022-06-06,31,44698.6,Bronze
CUST-100,Small Business,customer100@example.com,Phoenix,IL,USA,2022-06-20,24,48838.62,Gold
